epoch,train_loss
1,0.8935710191726685
2,0.8580735325813293
3,0.8231600522994995
4,0.788388192653656
5,0.7533048391342163
6,0.717404305934906
7,0.6801234483718872
8,0.6408259868621826
9,0.5987972617149353
10,0.5532436370849609
11,0.5033104419708252
12,0.44819405674934387
13,0.3874991834163666
14,0.3220500648021698
15,0.2554455101490021
16,0.19608941674232483
17,0.1561865210533142
18,0.13883881270885468
19,0.1260053962469101
20,0.10541779547929764
21,0.0833728089928627
22,0.06809235364198685
23,0.0625004991889
24,0.06551337987184525
25,0.07279549539089203
